id,longitude,latitude,accommodates,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,tv,air_conditioning,balcony_patio,bed_linen,outdoor_space,breakfast,coffee_machine,cooking_equip,white_goods,child_friendly,parking,greet_by_host,internet,long_term_stay,pets,private_entrance,security_system,self_checkin,gym,review_scores_accuracy_under8,review_scores_accuracy_9,review_scores_accuracy_10,review_scores_accuracy_unknown,review_scores_cleanliness_under8,review_scores_cleanliness_9,review_scores_cleanliness_10,review_scores_cleanliness_unknown,review_scores_checkin_under8,review_scores_checkin_9,review_scores_checkin_10,review_scores_checkin_unknown,review_scores_communication_under8,review_scores_communication_9,review_scores_communication_10,review_scores_communication_unknown,review_scores_location_under8,review_scores_location_9,review_scores_location_10,review_scores_location_unknown,review_scores_value_under8,review_scores_value_9,review_scores_value_10,review_scores_value_unknown,review_scores_rating_under80,review_scores_rating_80_94,review_scores_rating_95_100,review_scores_rating_unknown,property_type_House,room_type_Private room,host_is_superhost_TRUE,instant_bookable_TRUE,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict
38088158,-87.6741,41.91122,1.791759469228055,3.1354942159291497,5.298317366548036,4.564348191467836,3.5263605246161616,0,7.025538314638521,3.6375861597263857,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
38088375,-87.6469,41.92397,1.6094379124341003,3.044522437723423,5.298317366548036,4.356708826689592,3.5263605246161616,0,7.025538314638521,3.6635616461296463,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
38088637,-87.66308,41.92753,1.791759469228055,3.1354942159291497,5.298317366548036,4.564348191467836,3.5263605246161616,0,7.025538314638521,3.367295829986474,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
38090415,-87.6206,41.89824,0.6931471805599453,4.762173934797756,-6.907755278982137,-6.907755278982137,-6.907755278982137,3.4339872044851463,7.025538314638521,-6.907755278982137,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
38094526,-87.63928,41.92898,0.6931471805599453,4.68213122712422,-6.907755278982137,-6.907755278982137,-6.907755278982137,4.499809670330265,4.51085950651685,-6.907755278982137,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
38097002,-87.68283,41.96306,0.6931471805599453,3.8501476017100584,-6.907755278982137,3.6888794541139363,-6.907755278982137,0.6931471805599453,2.6390573296152584,2.4849066497880004,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
38098148,-87.68878,41.96545,0.6931471805599453,3.912023005428146,-6.907755278982137,3.6888794541139363,1.6094379124341003,0.6931471805599453,1.3862943611198906,2.70805020110221,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1
38098740,-87.657,41.89796,1.6094379124341003,5.298317366548036,-6.907755278982137,4.382026634673881,3.2188758248682006,0.6931471805599453,7.025538314638521,3.1780538303479458,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
38099421,-87.71469,41.92016,1.3862943611198906,4.634728988229636,5.521460917862246,4.31748811353631,3.2188758248682006,0,7.025538314638521,2.302585092994046,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
38100198,-87.63462,41.88255,1.791759469228055,5.293304824724492,-6.907755278982137,4.787491742782046,-6.907755278982137,2.995732273553991,7.025538314638521,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
38100551,-87.63368,41.88204,1.791759469228055,4.8283137373023015,-6.907755278982137,4.787491742782046,-6.907755278982137,3.4011973816621555,7.025538314638521,-6.907755278982137,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
38101368,-87.66749,41.96708,0.6931471805599453,3.7612001156935624,-6.907755278982137,3.5553480614894135,-6.907755278982137,0,5.902633333401366,2.833213344056216,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
38102525,-87.66601,41.96701,2.302585092994046,5.332718793265369,-6.907755278982137,4.31748811353631,-6.907755278982137,0,5.905361848054571,1.0986122886681098,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
38103887,-87.75671,41.93873,0.6931471805599453,4.007333185232471,5.857933154483459,3.2188758248682006,2.995732273553991,0.6931471805599453,4.787491742782046,-6.907755278982137,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
38104970,-87.66862,41.85303,1.6094379124341003,4.8283137373023015,-6.907755278982137,3.912023005428146,2.302585092994046,0,7.025538314638521,1.791759469228055,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
38108758,-87.67344,41.90677,2.0794415416798357,5.0106352940962555,-6.907755278982137,4.3694478524670215,-6.907755278982137,0,7.025538314638521,3.6888794541139363,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
38120553,-87.67187,41.98255,1.3862943611198906,5.1647859739235145,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,7.025538314638521,2.4849066497880004,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0
38121022,-87.68765,41.96574,1.3862943611198906,4.605170185988092,-6.907755278982137,3.6888794541139363,-6.907755278982137,1.0986122886681098,7.025538314638521,1.0986122886681098,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
38121744,-87.69889,41.92909,1.6094379124341003,4.31748811353631,-6.907755278982137,4.499809670330265,-6.907755278982137,0.6931471805599453,7.025538314638521,2.6390573296152584,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
38123790,-87.67097,41.89171,1.0986122886681098,4.31748811353631,-6.907755278982137,-6.907755278982137,3.912023005428146,0,7.025538314638521,2.0794415416798357,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
38127193,-87.67841,41.91935,2.0794415416798357,5.521460917862246,4.605170185988092,5.0106352940962555,3.2188758248682006,0.6931471805599453,7.025538314638521,2.3978952727983707,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
38130834,-87.62257,41.78686,0,4.787491742782046,-6.907755278982137,5.0106352940962555,4.605170185988092,0,7.025538314638521,-6.907755278982137,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
38132264,-87.66734,41.96752,1.3862943611198906,3.784189633918261,-6.907755278982137,3.5553480614894135,2.70805020110221,0,5.910796644040527,2.772588722239781,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
38133731,-87.60793,41.78327,0.6931471805599453,3.4011973816621555,5.521460917862246,4.605170185988092,1.6094379124341003,3.4657359027997265,7.025538314638521,-6.907755278982137,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
38134829,-87.70611,41.9484,2.0794415416798357,4.31748811353631,6.214608098422191,4.553876891600541,2.302585092994046,0,3.332204510175204,2.3978952727983707,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38138059,-87.66722,41.96556,2.772588722239781,6.309918278226516,-6.907755278982137,5.703782474656201,-6.907755278982137,0,5.8998973535824915,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
38152756,-87.67267,41.95668,0.6931471805599453,4.007333185232471,-6.907755278982137,2.995732273553991,-6.907755278982137,0,7.025538314638521,1.791759469228055,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
