longitude,latitude,price
-87.68678,41.92118,75
-87.66131,41.89278,55
-87.67686,41.97124,75
-87.65734,41.8967,295
-87.60859,41.82926,60
-87.65263,41.91827,85
-87.63923,41.93395,75
-87.70784,41.88745,83
-87.7795,41.99462,95
-87.68021,41.84828,70
-87.71464,41.92261,120
-87.65062,41.89309,249
-87.6764,41.89984,100
-87.65894,41.91944,140
-87.60386,41.80379,29
-87.68283,41.90669,105
-87.65651,41.89648,302
-87.68662,41.86756,79
-87.68336,41.94264,105
-87.64276,41.8877,130
-87.64819,41.93501,113
-87.75087,41.96703,95
-87.67942,41.85105,60
-87.69358,41.96293,85
-87.62304,41.89009,161
-87.68096,41.90006,119
-87.60417,41.81207,85
-87.62277,41.89076,225
-87.63273,41.90143,44
-87.67027,41.97487,4137
-87.68085,41.89907,55
-87.69618,41.88342,30
-87.62355,41.79599,80
-87.65104,41.8579,68
-87.71651,41.95163,200
-87.70787,41.85448,45
-87.70336,41.89826,45
-87.62338,41.8537,129
-87.68121,41.90772,80
-87.60508,41.80458,27
-87.58916,41.78977,165
-87.67981,41.96089,150
-87.65856,41.94467,500
-87.69806,41.98681,130
-87.63592,41.91755,95
-87.65626,41.96821,750
-87.61888,41.88618,150
-87.66228,41.98705,85
-87.6216,41.85211,200
-87.68204,41.86759,87
-87.6737,41.91432,99
-87.64879,41.93227,159
-87.62432,41.85445,130
-87.76953,41.94475,49
-87.77094,41.94391,65
-87.67211,42.00598,78
-87.64353,41.92985,124
-87.67221,41.94278,289
-87.6216,41.85235,250
-87.79969,41.94435,39
-87.62151,41.85441,129
-87.62238,41.89098,258
-87.68314,41.94795,128
-87.68468,41.89425,99
-87.60826,41.82872,50
-87.67028,41.90243,210
-87.61754,41.88766,220
-87.7124,41.93758,75
-87.72894,41.78355,34
-87.67145,41.9044,110
-87.65789,41.92049,200
-87.64155,41.90263,94
-87.67451,41.91548,125
-87.62761,41.85298,85
-87.6804,41.96315,150
-87.67119,41.91603,130
-87.71161,41.93156,145
-87.68671,41.94425,70
-87.68483,41.86823,97
-87.67761,42.00529,130
-87.65249,41.85683,69
-87.60826,41.82875,60
-87.68564,41.92476,40
-87.69375,41.91704,1200
-87.70906,41.96697,100
-87.6462,41.93493,179
-87.6797,41.90226,172
-87.66685,41.9895,85
-87.65613,41.94313,450
-87.65477,41.94465,99
-87.65498,41.94276,99
-87.71245,41.93625,75
-87.68007,41.89885,299
-87.65548,41.94279,75
-87.64338,41.8867,299
-87.70718,41.88373,85
-87.69635,41.90961,130
-87.69768,41.90968,90
-87.66932,41.93755,142
-87.67534,41.82583,95
-87.65147,41.94177,70
-87.65133,41.9402,75
-87.66844,41.99993,45
-87.6487,41.94328,375
-87.66337,41.92709,59
-87.59381,41.7998,75
-87.65697,41.94009,230
-87.65788,41.92716,175
-87.67481,41.82616,112
-87.68402,41.90182,55
-87.72039,41.9293,95
-87.61621,41.88626,140
-87.65766,41.97329,65
-87.62977,41.89805,91
-87.70345,41.92245,110
-87.66022,41.99041,64
-87.66642,41.92529,199
-87.6738,42.00355,70
-87.6633,42.00565,99
-87.72159,41.96024,67
-87.63425,41.88975,200
-87.60354,41.80285,34
-87.63292,41.88665,249
-87.65113,41.9318,150
-87.6437,41.89768,210
-87.67363,42.02139,45
-87.61796,41.81793,75
-87.6311,41.90275,100
-87.65137,41.94224,145
-87.64774,41.83514,95
-87.65237,41.97312,70
-87.7034,41.89806,90
-87.57458,41.77189,100
-87.69002,41.91999,50
-87.72759,41.78384,34
-87.66968,41.91147,94
-87.6457,41.95037,68
-87.68286,42.0059,55
-87.62596,41.89422,93
-87.65411,41.85531,69
-87.5929,41.7961,37
-87.65704,41.9915,111
-87.61439,41.81874,115
-87.66142,41.97355,80
-87.63397,41.88307,155
-87.67704,41.91088,86
-87.79432,41.94148,85
-87.66941,41.95361,1000
-87.71186,41.91887,70
-87.65063,41.91391,139
-87.66298,42.006100000000004,80
-87.66471,42.00493,80
-87.68629,41.88371,120
-87.67986,41.9197,150
-87.64828,41.95717,125
-87.69165,41.90127,200
-87.5929,41.7961,40
-87.5929,41.7961,150
-87.58961,41.7898,94
-87.5929,41.7961,30
-87.67367,41.91842,500
-87.64426,41.93869,125
-87.64544,41.94061,125
-87.68021,41.84828,70
-87.6218,41.85258,89
-87.66726,41.90427,125
-87.60922,41.80404,95
-87.6358,41.91752,174
-87.67339,41.96278,50
-87.67786,41.96682,100
-87.6626,41.99673,38
-87.66735,41.90531,90
-87.64745,41.94966,86
-87.65772,41.96705,73
-87.80186,41.97783,169
-87.64387,41.91994,125
-87.65801,41.93473,200
-87.61683,41.89581,344
-87.71123,41.95037,37
-87.68317,41.95956,130
-87.64898,41.94278,69
-87.69733,41.92721,275
-87.66284,41.99638,60
-87.6291,41.90516,109
-87.68367,41.96739,60
-87.6851,41.96841,150
-87.61594,41.81954,115
-87.73234,41.94245,60
-87.68577,41.91486,199
-87.70636,41.9197,90
-87.61495,41.81933,115
-87.62905,41.90672,175
-87.66922,41.95581,75
-87.67924,41.84911,50
-87.65562,41.93853,149
-87.70653,41.96063,50
-87.67749,41.95945,239
-87.63507,41.85525,110
-87.63569,41.85586,125
-87.73876,41.95378,45
-87.65702,41.96654,70
-87.66831,41.91215,118
-87.65187,41.93504,175
-87.64127,41.90888,120
-87.66466,42.01117,115
-87.79946,41.9426,40
-87.69455,41.90383,99
-87.64759,41.95773,250
-87.68678,41.92118,75
-87.63592,41.91755,743
-87.71007,41.93262,90
-87.66987,41.94017,200
