longitude,latitude,price
-122.28956,47.61966,333
-122.31726,47.69653,129
-122.27218,47.55546,164
-122.31665,47.61995,225
-122.29272,47.57375,89
-122.35843,47.63153,300
-122.38108,47.56674,86
-122.29483,47.60632,200
-122.28087,47.55142,70
-122.33235,47.59583,149
-122.31539,47.57907,105
-122.29152,47.62536,118
-122.29079,47.57124,55
-122.34821,47.6145,144
-122.2959,47.58357,82
-122.3475,47.61503,135
-122.30929,47.68104,42
-122.3409,47.65036,90
-122.29987,47.60027,60
-122.30199,47.60051,60
-122.34509,47.61597,200
-122.3661,47.66539,85
-122.35341,47.62782,99
-122.33861,47.606,999
-122.33943,47.60608,999
-122.33971,47.60692,999
-122.3389,47.606,999
-122.33757,47.60577,999
-122.33721,47.60701,999
-122.36508,47.68944,98
-122.32513,47.62845,99
-122.30562,47.60767,140
-122.30529,47.6652,80
-122.28511,47.66285,85
-122.27014,47.54517,85
-122.39687,47.58045,100
-122.29834,47.62243,160
-122.35982,47.52987,99
-122.32225,47.63976,145
-122.34168,47.70609,55
-122.32228,47.622,66
-122.28011,47.6342,89
-122.32924,47.61289,155
-122.38346,47.52679,129
-122.31031,47.63051,89
-122.35937,47.6552,85
-122.33824,47.60679,999
-122.30373,47.72323,48
-122.3544,47.65445,65
-122.36327,47.6353,325
-122.36653,47.63531,135
-122.33879,47.66215,212
-122.32596,47.6233,119
-122.31663,47.65775,105
-122.27707,47.55449,100
-122.30815,47.70122,50
-122.3617,47.55404,425
-122.35326,47.65487,60
-122.31415,47.67316,300
-122.32929,47.6117,285
-122.32245,47.61385,204
-122.32245,47.61385,174
-122.38720000000001,47.67813,130
-122.33406,47.64979,100
-122.27725,47.69424,60
-122.27748,47.69497,60
-122.37356,47.67269,60
-122.33964,47.6053,999
-122.38594,47.52896,79
-122.28167,47.56822,149
-122.32693,47.61598,400
-122.39485,47.57856,87
-122.32971,47.61215,129
-122.34504,47.66267,89
-122.36368,47.679,34
-122.35697,47.67937,100
-122.30397,47.66405,150
-122.30785,47.60188,275
-122.36902,47.69049,285
-122.30993,47.62636,500
-122.34879,47.66279,90
-122.32223,47.63417,60
-122.30972,47.59524,101
-122.32378,47.62328,50
-122.3257,47.62214,119
-122.31917,47.65796,188
-122.26486,47.55512,155
-122.31356,47.66147,79
-122.3373,47.65317,92
-122.29009,47.60824,76
-122.27987,47.66914,350
-122.29074,47.56791,115
-122.34378,47.61242,80
-122.33465,47.68977,75
-122.31587,47.65915,85
-122.40073,47.67595,495
-122.32414,47.63996,138
-122.34558,47.63346,135
-122.30841,47.60294,220
-122.29649,47.66606,44
-122.32469,47.62446,125
-122.29506,47.61359,75
-122.29726,47.66661,56
-122.33398,47.64976,75
-122.30951,47.57169,75
-122.33848,47.69319,65
-122.32496,47.62543,260
-122.38971,47.67582,93
-122.31584,47.66868,140
-122.38309,47.67876,69
-122.3177,47.65852,75
-122.38301,47.68429,255
-122.35635,47.71468,48
-122.35394,47.71542,46
-122.33451,47.68713,45
-122.31727,47.6585,89
-122.30505,47.61025,75
-122.35042,47.68032,150
-122.30253,47.57638,40
-122.31393,47.66243,70
-122.28174,47.52475,175
-122.32971,47.61215,125
-122.36509,47.63059,172
-122.32738,47.61554,500
-122.39544,47.6315,375
-122.39502,47.63301,165
-122.37212,47.63149,455
-122.32529,47.6203,81
-122.36122,47.56212,85
-122.28052,47.66974,70
-122.36152,47.66058,195
-122.32756,47.65322,90
-122.28643,47.56856,50
-122.28554,47.56929,62
-122.31308,47.61172,77
-122.31299,47.66241,100
-122.30683,47.60621,58
-122.31369,47.65877,89
-122.32496,47.62543,79
-122.35213,47.65947,57
-122.3647,47.6676,105
-122.31473,47.66152,85
-122.35569,47.64721,225
-122.32469,47.67572,299
-122.31481,47.7011,100
-122.30748,47.60646,111
-122.26161,47.55351,375
-122.34456,47.6971,95
-122.32015,47.59311,90
-122.28088,47.55314,35
-122.29879,47.60527,75
-122.36852,47.63661,90
-122.3655,47.64141,82
-122.30258,47.57779,46
-122.32496,47.62543,82
-122.31901,47.62137,100
-122.36073,47.7033,30
-122.33529,47.65513,250
-122.31913,47.54544,50
-122.38947,47.68275,65
-122.32525,47.6218,119
-122.30832,47.60762,87
-122.29372,47.59181,98
-122.3353,47.65613,250
-122.30754,47.60795,70
-122.31584,47.62231,90
-122.35772,47.68465,100
-122.30735,47.57272,89
-122.32086,47.70438,55
-122.29109,47.59394,66
-122.29923,47.66779,175
-122.30464,47.60998,120
-122.27069,47.55244,100
-122.38504,47.68142,129
-122.33908,47.60874,999
-122.36064,47.69462,30
-122.33772,47.60589,999
-122.33917,47.60741,999
-122.32865,47.69277,80
-122.33457,47.67373,150
-122.36742,47.66405,130
-122.37792,47.67713,90
-122.36323,47.70942,80
-122.30822,47.70145,60
-122.31443,47.63744,750
-122.31589,47.65918,71
-122.29977,47.62775,138
-122.36743,47.63993,81
-122.30866,47.59413,89
-122.34508,47.65397,52
-122.3897,47.6764,100
-122.3044,47.61058,120
-122.32097,47.62573,44
-122.28454,47.66806,109
-122.33477,47.7052,100
-122.30351,47.68075,60
-122.31858,47.64575,700
-122.28368,47.55377,85
-122.35559,47.73083,65
-122.34783,47.6363,250
-122.36532,47.63901,99
-122.30978,47.5739,100
-122.34818,47.61457,152
-122.38937,47.64879,95
-122.32749,47.64482,155
-122.39198,47.58676,175
-122.35817,47.54558,45
-122.35643,47.67096,225
-122.3504,47.68584,95
-122.29402,47.61649,125
-122.27687,47.53964,85
-122.31308,47.61172,63
-122.31308,47.61172,70
-122.28746,47.5949,79
-122.34321,47.65538,64
-122.33043,47.61191,145
